Projekt;Phase;Bezeichnung;Status;Verrechenbar
3130;013;Implement nicht verr.;A;J
2071;000;***** nicht verrechenb. Leistungen *****;A;J
2071;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
2071;020;div. Tätigkeiten NV ;A;J
2071;030;Wegzeit NV;A;J
2071;100;*** Allgem.-Implement. verrechenbar ***;A;J
2071;110;Planung / Projektleitung;A;J
2071;120;Protokollierung;A;J
2071;130;Installation rs2 + DB;A;J
2071;140;Systemadministration rs2;A;J
2071;200;*** WAWI-Implement. verrechenbar ***;A;J
2071;210;Analyse Prozesse / Organisation;A;J
2071;220;EINKAUF I+S;A;J
2071;225;LAGER I+S;A;J
2071;230;VERKAUF I+S;A;J
2071;250;PPS I+S;A;J
2071;290;Unterstützung Echtbetrieb (GoLive);A;J
2071;300;*** REWE-Implement. - verrechenbar ***;A;J
2071;500;*** nicht in vertr. IMPL enthalten *** ;A;J
3093;000;***** nicht verrechenbar *****;A;J
3093;010;Einarbeitung NV  (Aufbau Basiswissen);A;J
3093;020;div. Tätigkeiten NV (für Phasen 1xx-5xx);A;J
3093;100;*** Allgem.-Implement. verrechenbar ***;A;J
3093;110;Planung/Projektleitung;A;J
3093;130;Installation;A;J
3093;140;Systemadmin/Schulung;A;J
3093;200;*** WAWI-Implement. verrechenbar ***;A;J
3093;210;Analyse;A;J
3093;220;Parametrisierung I;A;J
3093;230;Schulung;A;J
3093;240;Parametrisierung II;A;J
3093;280;Unterstützung Echtbetrieb (GoLive);A;J
3093;300;*** REWE-Implement. - verrechenbar ***;A;J
3093;310;Analyse Abläufe/Rahmenbedingungen;A;J
3093;330;Fibu-Einführung (Schulung, Impl.);A;J
3093;340;Kore-Einführung (Schulung, Impl.);A;J
3093;350;AVZ-Einführung (Schulung, Impl.);A;J
3093;380;Unterstützung Echtbetrieb (GoLive);A;J
3093;500;***variabel: keine vertragl. Planzeit***;A;J
3093;510;Altdatenübernahme;A;J
3093;520;Schnittstellen;A;J
3093;530;Kore-Konzept;A;J
3093;590;Wegzeiten (für Phasen 0xxx - 4xxx);A;J
